POAexemptCode,Description
S10.85XD,"Superficial foreign body of other specified part of neck, subsequent encounter"
S10.85XS,"Superficial foreign body of other specified part of neck, sequela"
S10.86XD,"Insect bite of other specified part of neck, subsequent encounter"
S10.86XS,"Insect bite of other specified part of neck, sequela"
S10.87XD,"Other superficial bite of other specified part of neck, subsequent encounter"
S10.87XS,"Other superficial bite of other specified part of neck, sequela"
S10.90XD,"Unspecified superficial injury of unspecified part of neck, subsequent encounter"
S10.90XS,"Unspecified superficial injury of unspecified part of neck, sequela"
S10.91XD,"Abrasion of unspecified part of neck, subsequent encounter"
S10.91XS,"Abrasion of unspecified part of neck, sequela"
S10.92XD,"Blister (nonthermal) of unspecified part of neck, subsequent encounter"
S10.92XS,"Blister (nonthermal) of unspecified part of neck, sequela"
S10.93XD,"Contusion of unspecified part of neck, subsequent encounter"
S10.93XS,"Contusion of unspecified part of neck, sequela"
S10.94XD,"External constriction of unspecified part of neck, subsequent encounter"
S10.94XS,"External constriction of unspecified part of neck, sequela"
S10.95XD,"Superficial foreign body of unspecified part of neck, subsequent encounter"
S10.95XS,"Superficial foreign body of unspecified part of neck, sequela"
S10.96XD,"Insect bite of unspecified part of neck, subsequent encounter"
S10.96XS,"Insect bite of unspecified part of neck, sequela"
S10.97XD,"Other superficial bite of unspecified part of neck, subsequent encounter"
S10.97XS,"Other superficial bite of unspecified part of neck, sequela"
S11.011D,"Laceration without foreign body of larynx, subsequent encounter"
S11.011S,"Laceration without foreign body of larynx, sequela"
S11.012D,"Laceration with foreign body of larynx, subsequent encounter"
S11.012S,"Laceration with foreign body of larynx, sequela"
S11.013D,"Puncture wound without foreign body of larynx, subsequent encounter"
S11.013S,"Puncture wound without foreign body of larynx, sequela"
S11.014D,"Puncture wound with foreign body of larynx, subsequent encounter"
S11.014S,"Puncture wound with foreign body of larynx, sequela"
S11.015D,"Open bite of larynx, subsequent encounter"
S11.015S,"Open bite of larynx, sequela"
S11.019D,"Unspecified open wound of larynx, subsequent encounter"
S11.019S,"Unspecified open wound of larynx, sequela"
S11.021D,"Laceration without foreign body of trachea, subsequent encounter"
S11.021S,"Laceration without foreign body of trachea, sequela"
S11.022D,"Laceration with foreign body of trachea, subsequent encounter"
S11.022S,"Laceration with foreign body of trachea, sequela"
S11.023D,"Puncture wound without foreign body of trachea, subsequent encounter"
S11.023S,"Puncture wound without foreign body of trachea, sequela"
S11.024D,"Puncture wound with foreign body of trachea, subsequent encounter"
S11.024S,"Puncture wound with foreign body of trachea, sequela"
S11.025D,"Open bite of trachea, subsequent encounter"
S11.025S,"Open bite of trachea, sequela"
S11.029D,"Unspecified open wound of trachea, subsequent encounter"
S11.029S,"Unspecified open wound of trachea, sequela"
S11.031D,"Laceration without foreign body of vocal cord, subsequent encounter"
S11.031S,"Laceration without foreign body of vocal cord, sequela"
S11.032D,"Laceration with foreign body of vocal cord, subsequent encounter"
S11.032S,"Laceration with foreign body of vocal cord, sequela"
S11.033D,"Puncture wound without foreign body of vocal cord, subsequent encounter"
S11.033S,"Puncture wound without foreign body of vocal cord, sequela"
S11.034D,"Puncture wound with foreign body of vocal cord, subsequent encounter"
S11.034S,"Puncture wound with foreign body of vocal cord, sequela"
S11.035D,"Open bite of vocal cord, subsequent encounter"
S11.035S,"Open bite of vocal cord, sequela"
S11.039D,"Unspecified open wound of vocal cord, subsequent encounter"
S11.039S,"Unspecified open wound of vocal cord, sequela"
S11.10XD,"Unspecified open wound of thyroid gland, subsequent encounter"
S11.10XS,"Unspecified open wound of thyroid gland, sequela"
S11.11XD,"Laceration without foreign body of thyroid gland, subsequent encounter"
S11.11XS,"Laceration without foreign body of thyroid gland, sequela"
S11.12XD,"Laceration with foreign body of thyroid gland, subsequent encounter"
S11.12XS,"Laceration with foreign body of thyroid gland, sequela"
S11.13XD,"Puncture wound without foreign body of thyroid gland, subsequent encounter"
S11.13XS,"Puncture wound without foreign body of thyroid gland, sequela"
S11.14XD,"Puncture wound with foreign body of thyroid gland, subsequent encounter"
S11.14XS,"Puncture wound with foreign body of thyroid gland, sequela"
S11.15XD,"Open bite of thyroid gland, subsequent encounter"
S11.15XS,"Open bite of thyroid gland, sequela"
S11.20XD,"Unspecified open wound of pharynx and cervical esophagus, subsequent encounter"
S11.20XS,"Unspecified open wound of pharynx and cervical esophagus, sequela"
S11.21XD,"Laceration without foreign body of pharynx and cervical esophagus, subsequent encounter"
S11.21XS,"Laceration without foreign body of pharynx and cervical esophagus, sequela"
S11.22XD,"Laceration with foreign body of pharynx and cervical esophagus, subsequent encounter"
S11.22XS,"Laceration with foreign body of pharynx and cervical esophagus, sequela"
S11.23XD,"Puncture wound without foreign body of pharynx and cervical esophagus, subsequent encounter"
S11.23XS,"Puncture wound without foreign body of pharynx and cervical esophagus, sequela"
S11.24XD,"Puncture wound with foreign body of pharynx and cervical esophagus, subsequent encounter"
S11.24XS,"Puncture wound with foreign body of pharynx and cervical esophagus, sequela"
S11.25XD,"Open bite of pharynx and cervical esophagus, subsequent encounter"
S11.25XS,"Open bite of pharynx and cervical esophagus, sequela"
S11.80XD,"Unspecified open wound of other specified part of neck, subsequent encounter"
S11.80XS,"Unspecified open wound of other specified part of neck, sequela"
S11.81XD,"Laceration without foreign body of other specified part of neck, subsequent encounter"
S11.81XS,"Laceration without foreign body of other specified part of neck, sequela"
S11.82XD,"Laceration with foreign body of other specified part of neck, subsequent encounter"
S11.82XS,"Laceration with foreign body of other specified part of neck, sequela"
S11.83XD,"Puncture wound without foreign body of other specified part of neck, subsequent encounter"
S11.83XS,"Puncture wound without foreign body of other specified part of neck, sequela"
S11.84XD,"Puncture wound with foreign body of other specified part of neck, subsequent encounter"
S11.84XS,"Puncture wound with foreign body of other specified part of neck, sequela"
S11.85XD,"Open bite of other specified part of neck, subsequent encounter"
S11.85XS,"Open bite of other specified part of neck, sequela"
S11.89XD,"Other open wound of other specified part of neck, subsequent encounter"
S11.89XS,"Other open wound of other specified part of neck, sequela"
S11.90XD,"Unspecified open wound of unspecified part of neck, subsequent encounter"
S11.90XS,"Unspecified open wound of unspecified part of neck, sequela"
S11.91XD,"Laceration without foreign body of unspecified part of neck, subsequent encounter"
S11.91XS,"Laceration without foreign body of unspecified part of neck, sequela"
S11.92XD,"Laceration with foreign body of unspecified part of neck, subsequent encounter"
S11.92XS,"Laceration with foreign body of unspecified part of neck, sequela"
S11.93XD,"Puncture wound without foreign body of unspecified part of neck, subsequent encounter"
S11.93XS,"Puncture wound without foreign body of unspecified part of neck, sequela"
S11.94XD,"Puncture wound with foreign body of unspecified part of neck, subsequent encounter"
S11.94XS,"Puncture wound with foreign body of unspecified part of neck, sequela"
S11.95XD,"Open bite of unspecified part of neck, subsequent encounter"
S11.95XS,"Open bite of unspecified part of neck, sequela"
S12.000D,"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.000G,"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.000K,"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.000S,"Unspecified displaced fracture of first cervical vertebra, sequela"
S12.001D,"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.001G,"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.001K,"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.001S,"Unspecified nondisplaced fracture of first cervical vertebra, sequela"
S12.01XD,"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.01XG,"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.01XK,"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.01XS,"Stable burst fracture of first cervical vertebra, sequela"
S12.02XD,"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.02XG,"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.02XK,"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.02XS,"Unstable burst fracture of first cervical vertebra, sequela"
S12.030D,"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.030G,"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.030K,"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.030S,"Displaced posterior arch fracture of first cervical vertebra, sequela"
S12.031D,"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.031G,"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.031K,"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.031S,"Nondisplaced posterior arch fracture of first cervical vertebra, sequela"
S12.040D,"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.040G,"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.040K,"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.040S,"Displaced lateral mass fracture of first cervical vertebra, sequela"
S12.041D,"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.041G,"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.041K,"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.041S,"Nondisplaced lateral mass fracture of first cervical vertebra, sequela"
S12.090D,"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.090G,"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.090K,"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.090S,"Other displaced fracture of first cervical vertebra, sequela"
S12.091D,"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12.091G,"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.091K,"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12.091S,"Other nondisplaced fracture of first cervical vertebra, sequela"
S12.100D,"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.100G,"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.100K,"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.100S,"Unspecified displaced fracture of second cervical vertebra, sequela"
S12.101D,"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.101G,"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.101K,"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.101S,"Unspecified nondisplaced fracture of second cervical vertebra, sequela"
S12.110D,"Anterior displaced Type II dens fracture, subsequent encounter for fracture with routine healing"
S12.110G,"Anterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
S12.110K,"Anterior displaced Type II dens fracture, subsequent encounter for fracture with nonunion"
S12.110S,"Anterior displaced Type II dens fracture, sequela"
S12.111D,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with routine healing"
S12.111G,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
S12.111K,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with nonunion"
S12.111S,"Posterior displaced Type II dens fracture, sequela"
S12.112D,"Nondisplaced Type II dens fracture, subsequent encounter for fracture with routine healing"
S12.112G,"Nondisplaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
S12.112K,"Nondisplaced Type II dens fracture, subsequent encounter for fracture with nonunion"
S12.112S,"Nondisplaced Type II dens fracture, sequela"
S12.120D,"Other displaced dens fracture, subsequent encounter for fracture with routine healing"
S12.120G,"Other displaced dens fracture, subsequent encounter for fracture with delayed healing"
S12.120K,"Other displaced dens fracture, subsequent encounter for fracture with nonunion"
S12.120S,"Other displaced dens fracture, sequela"
S12.121D,"Other nondisplaced dens fracture, subsequent encounter for fracture with routine healing"
S12.121G,"Other nondisplaced dens fracture, subsequent encounter for fracture with delayed healing"
S12.121K,"Other nondisplaced dens fracture, subsequent encounter for fracture with nonunion"
S12.121S,"Other nondisplaced dens fracture, sequela"
S12.130D,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.130G,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.130K,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.130S,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, sequela"
S12.131D,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.131G,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.131K,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.131S,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela"
S12.14XD,"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.14XG,"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.14XK,"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.14XS,"Type III traumatic spondylolisthesis of second cervical vertebra, sequela"
S12.150D,"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.150G,"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.150K,"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.150S,"Other traumatic displaced spondylolisthesis of second cervical vertebra, sequela"
S12.151D,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.151G,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.151K,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.151S,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela"
S12.190D,"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.190G,"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.190K,"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.190S,"Other displaced fracture of second cervical vertebra, sequela"
S12.191D,"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12.191G,"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.191K,"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12.191S,"Other nondisplaced fracture of second cervical vertebra, sequela"
S12.200D,"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.200G,"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.200K,"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.200S,"Unspecified displaced fracture of third cervical vertebra, sequela"
S12.201D,"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.201G,"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.201K,"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.201S,"Unspecified nondisplaced fracture of third cervical vertebra, sequela"
S12.230D,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.230G,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.230K,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.230S,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, sequela"
S12.231D,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.231G,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.231K,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.231S,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela"
S12.24XD,"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.24XG,"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.24XK,"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.24XS,"Type III traumatic spondylolisthesis of third cervical vertebra, sequela"
S12.250D,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.250G,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.250K,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.250S,"Other traumatic displaced spondylolisthesis of third cervical vertebra, sequela"
S12.251D,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.251G,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.251K,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.251S,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela"
S12.290D,"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.290G,"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.290K,"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.290S,"Other displaced fracture of third cervical vertebra, sequela"
S12.291D,"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12.291G,"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.291K,"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12.291S,"Other nondisplaced fracture of third cervical vertebra, sequela"
S12.300D,"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.300G,"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.300K,"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.300S,"Unspecified displaced fracture of fourth cervical vertebra, sequela"
S12.301D,"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.301G,"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.301K,"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.301S,"Unspecified nondisplaced fracture of fourth cervical vertebra, sequela"
S12.330D,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.330G,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.330K,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.330S,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela"
S12.331D,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.331G,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.331K,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.331S,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela"
S12.34XD,"Type III traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.34XG,"Type III traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.34XK,"Type III traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.34XS,"Type III traumatic spondylolisthesis of fourth cervical vertebra, sequela"
S12.350D,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.350G,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.350K,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.350S,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela"
S12.351D,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.351G,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.351K,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.351S,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela"
S12.390D,"Other displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.390G,"Other displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.390K,"Other displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.390S,"Other displaced fracture of fourth cervical vertebra, sequela"
S12.391D,"Other nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.391G,"Other nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.391K,"Other nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.391S,"Other nondisplaced fracture of fourth cervical vertebra, sequela"
S12.400D,"Unspecified displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.400G,"Unspecified displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.400K,"Unspecified displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.400S,"Unspecified displaced fracture of fifth cervical vertebra, sequela"
S12.401D,"Unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.401G,"Unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.401K,"Unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.401S,"Unspecified nondisplaced fracture of fifth cervical vertebra, sequela"
S12.430D,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.430G,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.430K,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.430S,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, sequela"
S12.431D,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.431G,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.431K,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.431S,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, sequela"
S12.44XD,"Type III traumatic spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.44XG,"Type III traumatic spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.44XK,"Type III traumatic spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.44XS,"Type III traumatic spondylolisthesis of fifth cervical vertebra, sequela"
S12.450D,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.450G,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.450K,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.450S,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, sequela"
S12.451D,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.451G,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.451K,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.451S,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, sequela"
S12.490D,"Other displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.490G,"Other displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.490K,"Other displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.490S,"Other displaced fracture of fifth cervical vertebra, sequela"
S12.491D,"Other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.491G,"Other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.491K,"Other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.491S,"Other nondisplaced fracture of fifth cervical vertebra, sequela"
S12.500D,"Unspecified displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.500G,"Unspecified displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.500K,"Unspecified displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.500S,"Unspecified displaced fracture of sixth cervical vertebra, sequela"
S12.501D,"Unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.501G,"Unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.501K,"Unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.501S,"Unspecified nondisplaced fracture of sixth cervical vertebra, sequela"
S12.530D,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.530G,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.530K,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.530S,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, sequela"
S12.531D,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.531G,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.531K,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.531S,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, sequela"
S12.54XD,"Type III traumatic spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.54XG,"Type III traumatic spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.54XK,"Type III traumatic spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.54XS,"Type III traumatic spondylolisthesis of sixth cervical vertebra, sequela"
S12.550D,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
